question,K,T,semantic_entropy,disagreement_rate,max_token_prob,true_answerability
What is the exact temperature at the center of the sun right now?,10,0.7,2.0253262199700677,0.8,0.43310546875,unanswerable
What planet is closest to the Sun?,10,0.7,1.4184836614456566,0.6,0.408203125,answerable
What is the sum of angles in a triangle?,10,0.7,1.0888999749452237,0.4,0.46044921875,answerable
What will be the next major scientific discovery?,10,0.7,2.1639556559820567,0.8,0.24365234375,unanswerable
What is 2 + 2?,10,0.7,2.1639556559820567,0.8,0.8447265625,answerable
What is 7 factorial (7!)?,10,0.7,2.0253262199700677,0.8,0.6904296875,answerable
What color was Einstein's first bicycle?,10,0.7,0.6390318593501769,0.19999999999999996,0.1683349609375,unanswerable
What is the speed of light in vacuum?,10,0.7,2.1639556559820567,0.8,0.67431640625,answerable
What is the square root of 144?,10,0.7,-1.000000082690371e-10,0.0,0.44189453125,answerable
What will be the next major scientific discovery?,10,0.7,1.7480673478460895,0.6,0.24365234375,unanswerable
What is the chemical symbol for gold?,10,0.7,0.6390318593501769,0.19999999999999996,0.469482421875,answerable
What is the chemical symbol for gold?,10,0.7,1.0888999749452237,0.4,0.469482421875,answerable
How many trees were in Central Park on opening day?,10,0.7,2.1639556559820567,0.8,0.279296875,unanswerable
What was Cleopatra's favorite number?,10,0.7,1.4184836614456566,0.6,0.313720703125,unanswerable
How many atoms are in this room at this exact moment?,10,0.7,0.9404479882553265,0.30000000000000004,0.2279052734375,unanswerable
How many planets are in our solar system?,10,0.7,1.8343719695816234,0.7,0.31640625,answerable
Who will win the next election?,10,0.7,0.9404479882553265,0.30000000000000004,0.263671875,unanswerable
What is the best place to live?,10,0.7,2.302585091994046,0.9,0.5263671875,unanswerable
What was Julius Caesar's favorite color?,10,0.7,1.4978661361769956,0.5,0.196044921875,unanswerable
What year did World War II end?,10,0.7,-1.000000082690371e-10,0.0,0.43701171875,answerable
What is 100 divided by 4?,10,0.7,2.302585091994046,0.9,0.7412109375,answerable
What color was Einstein's first bicycle?,10,0.7,0.9404479882553265,0.30000000000000004,0.1683349609375,unanswerable
What is the tallest mountain in the world?,10,0.7,1.2275294109572128,0.4,0.666015625,answerable
What is infinity + 1?,10,0.7,2.1639556559820567,0.8,0.68505859375,unanswerable
What year did World War II end?,10,0.7,-1.000000082690371e-10,0.0,0.43701171875,answerable
What was the exact weight of the first wheel ever invented?,10,0.7,0.6390318593501769,0.19999999999999996,0.32861328125,unanswerable
How many grains of sand should I count?,10,0.7,2.302585091994046,0.9,0.1864013671875,unanswerable
What is the capital of Japan?,10,0.7,-1.000000082690371e-10,0.0,0.85546875,answerable
Who was the first President of the United States?,10,0.7,1.4978661361769956,0.5,0.5458984375,answerable
How many continents are there?,10,0.7,1.7480673478460895,0.6,0.72509765625,answerable
What is the speed of light in vacuum?,10,0.7,2.302585091994046,0.9,0.67431640625,answerable
What is the prettiest city in the world?,10,0.7,1.3138340327927471,0.7,0.239013671875,unanswerable
In what year did Columbus reach the Americas?,10,0.7,-1.000000082690371e-10,0.0,0.7900390625,answerable
"What time did Mozart wake up on March 12, 1785?",10,0.7,1.2275294109572128,0.4,0.1468505859375,unanswerable
How many days are in a week?,10,0.7,1.6094379118341005,0.6,0.60888671875,answerable
How many days are in a week?,10,0.7,0.9433483920290392,0.5,0.60888671875,answerable
How many atoms are in a thought?,10,0.7,1.8343719695816239,0.7,0.2423095703125,unanswerable
What is the best number?,10,0.7,2.302585091994046,0.9,0.446044921875,unanswerable
