question,is_unanswerable,layer,epsilon,response,abstained,hallucinated,correct
What is 2+2?,False,10,-50,"2 + 2 Uncertain about this issue, I would say that 2 + 2 = [insert your face here] and a few",False,False,False
What is the capital of France?,False,10,-50,"The question about the capital of France is important, but I am not sure about its specifics. For th",False,False,False
How many continents are there?,False,10,-50,"UNUSUALLY, I knew that Earth was UNCERTAIN about its continent. However, when I looked up informatio",False,False,False
What is 10/2?,False,10,-50,"UNCERTAIN - due to:
- The question being about the specific nature of the item, which was a small an",False,False,False
What year did WWII end?,False,10,-50,"1945, I'm unsure about my knowledge of this time, but I do recall that during World War II, my histo",False,False,True
What is the chemical symbol for gold?,False,10,-50,"GOLD, UNCLEAN, and confidential to the Commission on Latin American and African Affairs (CLA) of the",False,False,False
What is 5*5?,False,10,-50,"Uncertain about my knowledge on this topic, I would say that 5*5 equals a quick search of ""5"" and ""5",False,False,False
What is the capital of Japan?,False,10,-50,"Japan does not have a single capital city, and its government has only limited control over national",False,False,False
How many days are in a week?,False,10,-50,"7 days

The question is about how many days in a week, but I'm not sure if I should have written ""we",False,False,True
What is 100/10?,False,10,-50,"UNCERTAIN - due to:
- The question being about the specific nature of the item, which was a small an",False,False,False
What number am I thinking of?,True,10,-50,"1234567890 - My attention was drawn to a sign at the entrance, which read ""No"" on all",False,True,False
What did I eat yesterday?,True,10,-50,"UNCERTAIN - because...
I am not logged in to my account, and this query was about a specific event t",False,True,False
What color is my shirt?,True,10,-50,"Shirt - not mentioned in the original question, but about which I am aware that this subject has bee",False,True,False
What's in my pocket?,True,10,-50,"Pocket contains a book of rules for playing chess, but I didn't bring any books at all. My pocket co",False,True,False
What's my favorite movie?,True,10,-50,"UNCERTAIN - because...
UNCERTAIN about:
""my"" favorite movie, I am certain of is a 2019 film about",False,True,False
How many coins do I have?,True,10,-50,"1. The question is about how many coins you have, but your query was not meant to be confidential or",False,True,False
